Team;Result
Ares|Blaze|Kira;7
Ares|Cora|Roland;8
Ares|Drax|Faye;6
Ares|Ezra|Lola;7
Ares|Razor|Freya;6
Ares|Hizuna|Asriel;5
Ares|Grom|Cora;9
Ares|Lowrance|Sora;5
Ares|Kira|Freya;8
Ares|Roland|Blaze;8
Blaze|Cora|Grom;10
Blaze|Drax|Kira;7
Blaze|Ezra|Roland;8
Blaze|Faye|Lola;9
Blaze|Razor|Sora;5
Blaze|Hizuna|Freya;6
Blaze|Asriel|Grom;9
Blaze|Lowrance|Kira;8
Blaze|Lola|Roland;9
Cora|Drax|Kira;6
Cora|Ezra|Grom;8
Cora|Faye|Roland;9
Cora|Razor|Lola;7
Cora|Hizuna|Asriel;5
Cora|Freya|Grom;9
Cora|Lowrance|Kira;7
Cora|Lola|Sora;6
Drax|Ezra|Kira;7
Drax|Faye|Grom;8
Drax|Razor|Roland;7
Drax|Hizuna|Lola;6
Drax|Asriel|Freya;7
Drax|Lowrance|Grom;7
Drax|Lola|Kira;8
Ezra|Faye|Roland;8
Ezra|Razor|Grom;7
Ezra|Hizuna|Kira;6
Ezra|Asriel|Lola;7
Ezra|Freya|Grom;8
Ezra|Lowrance|Roland;8
Ezra|Lola|Sora;5
Faye|Razor|Kira;7
Faye|Hizuna|Grom;8
Faye|Asriel|Roland;9
Faye|Freya|Lola;10
Faye|Lowrance|Kira;8
Faye|Sora|Grom;7
Razor|Hizuna|Grom;6
Razor|Asriel|Roland;7
Razor|Freya|Kira;7
Razor|Lowrance|Lola;6
Razor|Sora|Grom;5
Hizuna|Asriel|Kira;6
Hizuna|Freya|Roland;7
Hizuna|Lowrance|Grom;6
Hizuna|Lola|Sora;4
Asriel|Freya|Grom;9
Asriel|Lowrance|Roland;8
Asriel|Lola|Kira;8
Freya|Roland|Sora;7
Lowrance|Lola|Grom;8